timestamp,machine_id,sensor_type,sensor_value,unit,status
2025-10-01T12:00:00Z,MCH_006,Pressure,5.08,bar,Critical
2025-10-01T12:05:00Z,MCH_021,Vibration,7.79,mm/s,Warning
2025-10-01T12:10:00Z,MCH_042,Vibration,3.49,mm/s,Normal
2025-10-01T12:15:00Z,MCH_010,Vibration,9.11,mm/s,Critical
2025-10-01T12:20:00Z,MCH_030,Pressure,5.53,bar,Critical
2025-10-01T12:25:00Z,MCH_049,Temperature,87.25,°C,Critical
2025-10-01T12:30:00Z,MCH_005,Pressure,2.93,bar,Normal
2025-10-01T12:35:00Z,MCH_017,Vibration,4.49,mm/s,Normal
2025-10-01T12:40:00Z,MCH_047,Vibration,5.12,mm/s,Normal
2025-10-01T12:45:00Z,MCH_032,Pressure,2.36,bar,Normal
2025-10-01T12:50:00Z,MCH_004,Vibration,8.8,mm/s,Warning
2025-10-01T12:55:00Z,MCH_033,Vibration,10.03,mm/s,Critical
2025-10-01T13:00:00Z,MCH_015,Vibration,4.5,mm/s,Normal
2025-10-01T13:05:00Z,MCH_034,Pressure,5.45,bar,Critical
2025-10-01T13:10:00Z,MCH_045,Pressure,2.66,bar,Normal
2025-10-01T13:15:00Z,MCH_016,Vibration,7.58,mm/s,Warning
2025-10-01T13:20:00Z,MCH_006,Vibration,10.45,mm/s,Critical
2025-10-01T13:25:00Z,MCH_011,Temperature,63.37,°C,Normal
2025-10-01T13:30:00Z,MCH_018,Pressure,1.57,bar,Normal
2025-10-01T13:35:00Z,MCH_017,Pressure,2.42,bar,Normal
2025-10-01T13:40:00Z,MCH_032,Temperature,60.7,°C,Normal
2025-10-01T13:45:00Z,MCH_043,Vibration,4.17,mm/s,Normal
2025-10-01T13:50:00Z,MCH_048,Pressure,3.47,bar,Normal
2025-10-01T13:55:00Z,MCH_024,Pressure,1.62,bar,Normal
2025-10-01T14:00:00Z,MCH_030,Temperature,84.94,°C,Critical
2025-10-01T14:05:00Z,MCH_025,Vibration,5.49,mm/s,Normal
2025-10-01T14:10:00Z,MCH_018,Temperature,73.72,°C,Warning
2025-10-01T14:15:00Z,MCH_031,Vibration,4.0,mm/s,Normal
2025-10-01T14:20:00Z,MCH_048,Temperature,60.92,°C,Normal
2025-10-01T14:25:00Z,MCH_007,Vibration,3.74,mm/s,Normal
2025-10-01T14:30:00Z,MCH_031,Vibration,2.24,mm/s,Normal
2025-10-01T14:35:00Z,MCH_039,Temperature,64.49,°C,Normal
2025-10-01T14:40:00Z,MCH_029,Vibration,8.25,mm/s,Warning
2025-10-01T14:45:00Z,MCH_008,Pressure,4.74,bar,Warning
2025-10-01T14:50:00Z,MCH_040,Pressure,3.16,bar,Normal
2025-10-01T14:55:00Z,MCH_019,Pressure,3.53,bar,Normal
2025-10-01T15:00:00Z,MCH_011,Temperature,71.11,°C,Warning
2025-10-01T15:05:00Z,MCH_030,Vibration,6.51,mm/s,Normal
2025-10-01T15:10:00Z,MCH_021,Temperature,63.06,°C,Normal
2025-10-01T15:15:00Z,MCH_044,Pressure,2.25,bar,Normal
2025-10-01T15:20:00Z,MCH_037,Temperature,61.45,°C,Normal
2025-10-01T15:25:00Z,MCH_028,Temperature,78.5,°C,Warning
2025-10-01T15:30:00Z,MCH_010,Vibration,6.5,mm/s,Normal
2025-10-01T15:35:00Z,MCH_046,Temperature,83.11,°C,Critical
2025-10-01T15:40:00Z,MCH_001,Pressure,4.7,bar,Warning
2025-10-01T15:45:00Z,MCH_031,Pressure,1.79,bar,Normal
2025-10-01T15:50:00Z,MCH_006,Vibration,5.67,mm/s,Normal
2025-10-01T15:55:00Z,MCH_025,Vibration,5.44,mm/s,Normal
2025-10-01T16:00:00Z,MCH_019,Temperature,62.73,°C,Normal
2025-10-01T16:05:00Z,MCH_023,Pressure,4.75,bar,Warning
2025-10-01T16:10:00Z,MCH_049,Pressure,2.42,bar,Normal
2025-10-01T16:15:00Z,MCH_034,Temperature,89.87,°C,Critical
2025-10-01T16:20:00Z,MCH_029,Vibration,11.72,mm/s,Critical
2025-10-01T16:25:00Z,MCH_032,Pressure,3.91,bar,Normal
2025-10-01T16:30:00Z,MCH_022,Temperature,82.51,°C,Critical
2025-10-01T16:35:00Z,MCH_031,Vibration,11.61,mm/s,Critical
2025-10-01T16:40:00Z,MCH_008,Temperature,66.51,°C,Normal
2025-10-01T16:45:00Z,MCH_043,Pressure,3.09,bar,Normal
2025-10-01T16:50:00Z,MCH_014,Temperature,60.71,°C,Normal
2025-10-01T16:55:00Z,MCH_024,Pressure,2.3,bar,Normal
2025-10-01T17:00:00Z,MCH_025,Temperature,69.16,°C,Normal
2025-10-01T17:05:00Z,MCH_029,Vibration,2.33,mm/s,Normal
2025-10-01T17:10:00Z,MCH_005,Temperature,81.11,°C,Critical
2025-10-01T17:15:00Z,MCH_036,Vibration,9.66,mm/s,Critical
2025-10-01T17:20:00Z,MCH_028,Pressure,4.83,bar,Warning
2025-10-01T17:25:00Z,MCH_009,Temperature,71.14,°C,Warning
2025-10-01T17:30:00Z,MCH_030,Vibration,7.12,mm/s,Warning
2025-10-01T17:35:00Z,MCH_035,Pressure,2.07,bar,Normal
2025-10-01T17:40:00Z,MCH_029,Pressure,2.58,bar,Normal
2025-10-01T17:45:00Z,MCH_036,Temperature,81.46,°C,Critical
2025-10-01T17:50:00Z,MCH_003,Pressure,3.52,bar,Normal
2025-10-01T17:55:00Z,MCH_026,Temperature,69.54,°C,Normal
2025-10-01T18:00:00Z,MCH_039,Temperature,84.45,°C,Critical
2025-10-01T18:05:00Z,MCH_003,Vibration,4.71,mm/s,Normal
2025-10-01T18:10:00Z,MCH_004,Temperature,63.67,°C,Normal
2025-10-01T18:15:00Z,MCH_033,Pressure,3.13,bar,Normal
2025-10-01T18:20:00Z,MCH_008,Pressure,1.89,bar,Normal
2025-10-01T18:25:00Z,MCH_018,Pressure,2.18,bar,Normal
2025-10-01T18:30:00Z,MCH_031,Pressure,3.28,bar,Normal
2025-10-01T18:35:00Z,MCH_003,Pressure,4.57,bar,Warning
2025-10-01T18:40:00Z,MCH_023,Pressure,2.46,bar,Normal
2025-10-01T18:45:00Z,MCH_007,Pressure,1.95,bar,Normal
2025-10-01T18:50:00Z,MCH_006,Vibration,3.63,mm/s,Normal
2025-10-01T18:55:00Z,MCH_049,Vibration,6.45,mm/s,Normal
2025-10-01T19:00:00Z,MCH_046,Temperature,82.07,°C,Critical
2025-10-01T19:05:00Z,MCH_012,Vibration,5.36,mm/s,Normal
2025-10-01T19:10:00Z,MCH_031,Pressure,3.35,bar,Normal
2025-10-01T19:15:00Z,MCH_045,Pressure,2.05,bar,Normal
2025-10-01T19:20:00Z,MCH_029,Vibration,2.59,mm/s,Normal
2025-10-01T19:25:00Z,MCH_040,Temperature,55.97,°C,Normal
2025-10-01T19:30:00Z,MCH_006,Temperature,78.1,°C,Warning
2025-10-01T19:35:00Z,MCH_048,Temperature,69.81,°C,Normal
2025-10-01T19:40:00Z,MCH_015,Vibration,4.7,mm/s,Normal
2025-10-01T19:45:00Z,MCH_030,Temperature,58.23,°C,Normal
2025-10-01T19:50:00Z,MCH_049,Temperature,88.48,°C,Critical
2025-10-01T19:55:00Z,MCH_023,Vibration,4.87,mm/s,Normal
2025-10-01T20:00:00Z,MCH_027,Temperature,57.53,°C,Normal
2025-10-01T20:05:00Z,MCH_018,Pressure,1.74,bar,Normal
2025-10-01T20:10:00Z,MCH_047,Pressure,1.76,bar,Normal
2025-10-01T20:15:00Z,MCH_021,Temperature,79.09,°C,Warning
2025-10-01T20:20:00Z,MCH_019,Pressure,4.01,bar,Warning
2025-10-01T20:25:00Z,MCH_018,Pressure,5.33,bar,Critical
2025-10-01T20:30:00Z,MCH_030,Pressure,2.61,bar,Normal
2025-10-01T20:35:00Z,MCH_043,Temperature,87.99,°C,Critical
2025-10-01T20:40:00Z,MCH_004,Temperature,77.92,°C,Warning
2025-10-01T20:45:00Z,MCH_008,Temperature,86.98,°C,Critical
2025-10-01T20:50:00Z,MCH_045,Vibration,8.11,mm/s,Warning
2025-10-01T20:55:00Z,MCH_001,Vibration,7.52,mm/s,Warning
2025-10-01T21:00:00Z,MCH_043,Vibration,8.64,mm/s,Warning
2025-10-01T21:05:00Z,MCH_011,Temperature,69.55,°C,Normal
2025-10-01T21:10:00Z,MCH_038,Vibration,4.55,mm/s,Normal
2025-10-01T21:15:00Z,MCH_028,Temperature,55.64,°C,Normal
2025-10-01T21:20:00Z,MCH_019,Temperature,63.92,°C,Normal
2025-10-01T21:25:00Z,MCH_009,Temperature,87.09,°C,Critical
2025-10-01T21:30:00Z,MCH_034,Vibration,9.98,mm/s,Critical
2025-10-01T21:35:00Z,MCH_008,Vibration,6.25,mm/s,Normal
2025-10-01T21:40:00Z,MCH_012,Vibration,3.27,mm/s,Normal
2025-10-01T21:45:00Z,MCH_001,Vibration,7.8,mm/s,Warning
2025-10-01T21:50:00Z,MCH_022,Pressure,2.64,bar,Normal
2025-10-01T21:55:00Z,MCH_027,Pressure,1.84,bar,Normal
2025-10-01T22:00:00Z,MCH_014,Pressure,4.3,bar,Warning
2025-10-01T22:05:00Z,MCH_041,Pressure,3.63,bar,Normal
2025-10-01T22:10:00Z,MCH_032,Vibration,6.13,mm/s,Normal
2025-10-01T22:15:00Z,MCH_016,Vibration,4.29,mm/s,Normal
2025-10-01T22:20:00Z,MCH_014,Temperature,76.15,°C,Warning
2025-10-01T22:25:00Z,MCH_013,Pressure,4.07,bar,Warning
2025-10-01T22:30:00Z,MCH_032,Vibration,2.65,mm/s,Normal
2025-10-01T22:35:00Z,MCH_032,Vibration,11.91,mm/s,Critical
2025-10-01T22:40:00Z,MCH_014,Pressure,2.97,bar,Normal
2025-10-01T22:45:00Z,MCH_029,Temperature,81.52,°C,Critical
2025-10-01T22:50:00Z,MCH_034,Vibration,9.54,mm/s,Critical
2025-10-01T22:55:00Z,MCH_040,Temperature,76.18,°C,Warning
2025-10-01T23:00:00Z,MCH_004,Pressure,3.49,bar,Normal
2025-10-01T23:05:00Z,MCH_026,Vibration,6.95,mm/s,Normal
2025-10-01T23:10:00Z,MCH_037,Temperature,60.36,°C,Normal
2025-10-01T23:15:00Z,MCH_026,Pressure,5.28,bar,Critical
2025-10-01T23:20:00Z,MCH_023,Vibration,5.13,mm/s,Normal
2025-10-01T23:25:00Z,MCH_049,Temperature,59.56,°C,Normal
2025-10-01T23:30:00Z,MCH_040,Pressure,5.42,bar,Critical
2025-10-01T23:35:00Z,MCH_035,Pressure,3.36,bar,Normal
2025-10-01T23:40:00Z,MCH_049,Vibration,8.59,mm/s,Warning
2025-10-01T23:45:00Z,MCH_026,Temperature,65.5,°C,Normal
2025-10-01T23:50:00Z,MCH_014,Vibration,10.83,mm/s,Critical
2025-10-01T23:55:00Z,MCH_048,Temperature,80.97,°C,Critical
2025-10-02T00:00:00Z,MCH_003,Pressure,3.79,bar,Normal
2025-10-02T00:05:00Z,MCH_044,Temperature,64.32,°C,Normal
2025-10-02T00:10:00Z,MCH_010,Vibration,3.04,mm/s,Normal
2025-10-02T00:15:00Z,MCH_023,Temperature,65.12,°C,Normal
2025-10-02T00:20:00Z,MCH_033,Temperature,75.25,°C,Warning
2025-10-02T00:25:00Z,MCH_027,Temperature,89.99,°C,Critical
2025-10-02T00:30:00Z,MCH_024,Pressure,3.11,bar,Normal
2025-10-02T00:35:00Z,MCH_025,Temperature,62.26,°C,Normal
2025-10-02T00:40:00Z,MCH_020,Pressure,3.81,bar,Normal
2025-10-02T00:45:00Z,MCH_002,Vibration,11.23,mm/s,Critical
2025-10-02T00:50:00Z,MCH_015,Temperature,65.18,°C,Normal
2025-10-02T00:55:00Z,MCH_031,Temperature,74.26,°C,Warning
2025-10-02T01:00:00Z,MCH_013,Temperature,78.26,°C,Warning
2025-10-02T01:05:00Z,MCH_050,Pressure,5.27,bar,Critical
2025-10-02T01:10:00Z,MCH_003,Vibration,9.37,mm/s,Critical
2025-10-02T01:15:00Z,MCH_032,Temperature,65.53,°C,Normal
2025-10-02T01:20:00Z,MCH_032,Vibration,2.34,mm/s,Normal
2025-10-02T01:25:00Z,MCH_019,Vibration,8.46,mm/s,Warning
2025-10-02T01:30:00Z,MCH_030,Vibration,11.67,mm/s,Critical
2025-10-02T01:35:00Z,MCH_027,Vibration,8.92,mm/s,Warning
2025-10-02T01:40:00Z,MCH_047,Pressure,3.11,bar,Normal
2025-10-02T01:45:00Z,MCH_031,Temperature,65.62,°C,Normal
2025-10-02T01:50:00Z,MCH_029,Vibration,2.24,mm/s,Normal
2025-10-02T01:55:00Z,MCH_024,Temperature,66.53,°C,Normal
2025-10-02T02:00:00Z,MCH_035,Vibration,10.54,mm/s,Critical
2025-10-02T02:05:00Z,MCH_025,Pressure,5.29,bar,Critical
2025-10-02T02:10:00Z,MCH_009,Pressure,5.1,bar,Critical
2025-10-02T02:15:00Z,MCH_013,Pressure,2.26,bar,Normal
2025-10-02T02:20:00Z,MCH_025,Pressure,2.26,bar,Normal
2025-10-02T02:25:00Z,MCH_050,Vibration,4.26,mm/s,Normal
2025-10-02T02:30:00Z,MCH_044,Pressure,4.41,bar,Warning
2025-10-02T02:35:00Z,MCH_040,Pressure,2.52,bar,Normal
2025-10-02T02:40:00Z,MCH_004,Pressure,2.14,bar,Normal
2025-10-02T02:45:00Z,MCH_022,Pressure,3.95,bar,Normal
2025-10-02T02:50:00Z,MCH_001,Vibration,6.67,mm/s,Normal
2025-10-02T02:55:00Z,MCH_002,Vibration,4.44,mm/s,Normal
2025-10-02T03:00:00Z,MCH_013,Temperature,88.02,°C,Critical
2025-10-02T03:05:00Z,MCH_037,Temperature,62.5,°C,Normal
2025-10-02T03:10:00Z,MCH_047,Vibration,10.15,mm/s,Critical
2025-10-02T03:15:00Z,MCH_030,Vibration,5.87,mm/s,Normal
2025-10-02T03:20:00Z,MCH_036,Temperature,82.03,°C,Critical
2025-10-02T03:25:00Z,MCH_037,Vibration,11.06,mm/s,Critical
2025-10-02T03:30:00Z,MCH_010,Vibration,6.16,mm/s,Normal
2025-10-02T03:35:00Z,MCH_026,Pressure,2.56,bar,Normal
2025-10-02T03:40:00Z,MCH_030,Pressure,5.72,bar,Critical
2025-10-02T03:45:00Z,MCH_043,Vibration,9.55,mm/s,Critical
2025-10-02T03:50:00Z,MCH_038,Temperature,80.13,°C,Critical
2025-10-02T03:55:00Z,MCH_021,Temperature,84.99,°C,Critical
2025-10-02T04:00:00Z,MCH_013,Temperature,67.9,°C,Normal
2025-10-02T04:05:00Z,MCH_008,Pressure,5.55,bar,Critical
2025-10-02T04:10:00Z,MCH_037,Pressure,4.66,bar,Warning
2025-10-02T04:15:00Z,MCH_020,Pressure,2.98,bar,Normal
2025-10-02T04:20:00Z,MCH_024,Pressure,4.08,bar,Warning
2025-10-02T04:25:00Z,MCH_036,Temperature,73.87,°C,Warning
2025-10-02T04:30:00Z,MCH_040,Temperature,57.92,°C,Normal
2025-10-02T04:35:00Z,MCH_044,Pressure,2.25,bar,Normal
2025-10-02T04:40:00Z,MCH_030,Temperature,70.19,°C,Warning
2025-10-02T04:45:00Z,MCH_021,Temperature,62.28,°C,Normal
2025-10-02T04:50:00Z,MCH_029,Pressure,4.34,bar,Warning
2025-10-02T04:55:00Z,MCH_003,Vibration,7.04,mm/s,Warning
2025-10-02T05:00:00Z,MCH_036,Vibration,9.63,mm/s,Critical
2025-10-02T05:05:00Z,MCH_013,Temperature,87.89,°C,Critical
2025-10-02T05:10:00Z,MCH_038,Vibration,6.42,mm/s,Normal
2025-10-02T05:15:00Z,MCH_044,Vibration,3.01,mm/s,Normal
2025-10-02T05:20:00Z,MCH_009,Vibration,2.7,mm/s,Normal
2025-10-02T05:25:00Z,MCH_043,Temperature,78.88,°C,Warning
2025-10-02T05:30:00Z,MCH_028,Pressure,2.38,bar,Normal
2025-10-02T05:35:00Z,MCH_014,Vibration,11.41,mm/s,Critical
2025-10-02T05:40:00Z,MCH_046,Vibration,10.19,mm/s,Critical
2025-10-02T05:45:00Z,MCH_024,Temperature,60.13,°C,Normal
2025-10-02T05:50:00Z,MCH_008,Pressure,3.69,bar,Normal
2025-10-02T05:55:00Z,MCH_019,Temperature,80.73,°C,Critical
2025-10-02T06:00:00Z,MCH_002,Pressure,5.96,bar,Critical
2025-10-02T06:05:00Z,MCH_039,Vibration,7.95,mm/s,Warning
2025-10-02T06:10:00Z,MCH_038,Vibration,11.96,mm/s,Critical
2025-10-02T06:15:00Z,MCH_025,Pressure,1.96,bar,Normal
2025-10-02T06:20:00Z,MCH_049,Temperature,79.16,°C,Warning
2025-10-02T06:25:00Z,MCH_012,Temperature,70.85,°C,Warning
2025-10-02T06:30:00Z,MCH_022,Pressure,4.45,bar,Warning
2025-10-02T06:35:00Z,MCH_008,Temperature,57.0,°C,Normal
2025-10-02T06:40:00Z,MCH_027,Temperature,66.35,°C,Normal
2025-10-02T06:45:00Z,MCH_003,Vibration,4.68,mm/s,Normal
2025-10-02T06:50:00Z,MCH_027,Temperature,89.89,°C,Critical
2025-10-02T06:55:00Z,MCH_005,Vibration,8.72,mm/s,Warning
2025-10-02T07:00:00Z,MCH_008,Temperature,75.7,°C,Warning
2025-10-02T07:05:00Z,MCH_012,Vibration,6.13,mm/s,Normal
2025-10-02T07:10:00Z,MCH_048,Vibration,3.1,mm/s,Normal
2025-10-02T07:15:00Z,MCH_031,Pressure,3.14,bar,Normal
2025-10-02T07:20:00Z,MCH_049,Vibration,4.73,mm/s,Normal
2025-10-02T07:25:00Z,MCH_011,Pressure,3.68,bar,Normal
2025-10-02T07:30:00Z,MCH_023,Pressure,2.94,bar,Normal
2025-10-02T07:35:00Z,MCH_031,Temperature,55.49,°C,Normal
2025-10-02T07:40:00Z,MCH_003,Temperature,78.51,°C,Warning
2025-10-02T07:45:00Z,MCH_027,Temperature,73.09,°C,Warning
2025-10-02T07:50:00Z,MCH_016,Vibration,10.68,mm/s,Critical
2025-10-02T07:55:00Z,MCH_007,Vibration,10.73,mm/s,Critical
2025-10-02T08:00:00Z,MCH_013,Vibration,8.4,mm/s,Warning
2025-10-02T08:05:00Z,MCH_021,Vibration,10.81,mm/s,Critical
2025-10-02T08:10:00Z,MCH_011,Pressure,5.8,bar,Critical
2025-10-02T08:15:00Z,MCH_016,Vibration,7.65,mm/s,Warning
2025-10-02T08:20:00Z,MCH_031,Temperature,88.31,°C,Critical
2025-10-02T08:25:00Z,MCH_050,Pressure,2.95,bar,Normal
2025-10-02T08:30:00Z,MCH_049,Temperature,64.61,°C,Normal
2025-10-02T08:35:00Z,MCH_050,Pressure,3.21,bar,Normal
2025-10-02T08:40:00Z,MCH_042,Vibration,5.67,mm/s,Normal
2025-10-02T08:45:00Z,MCH_039,Vibration,10.08,mm/s,Critical
2025-10-02T08:50:00Z,MCH_050,Pressure,2.31,bar,Normal
2025-10-02T08:55:00Z,MCH_048,Vibration,3.6,mm/s,Normal
2025-10-02T09:00:00Z,MCH_027,Temperature,83.05,°C,Critical
2025-10-02T09:05:00Z,MCH_018,Pressure,3.62,bar,Normal
2025-10-02T09:10:00Z,MCH_010,Vibration,6.64,mm/s,Normal
2025-10-02T09:15:00Z,MCH_044,Pressure,2.98,bar,Normal
2025-10-02T09:20:00Z,MCH_031,Vibration,8.7,mm/s,Warning
2025-10-02T09:25:00Z,MCH_010,Pressure,3.91,bar,Normal
2025-10-02T09:30:00Z,MCH_023,Temperature,79.39,°C,Warning
2025-10-02T09:35:00Z,MCH_019,Vibration,4.49,mm/s,Normal
2025-10-02T09:40:00Z,MCH_023,Pressure,4.57,bar,Warning
2025-10-02T09:45:00Z,MCH_025,Temperature,68.48,°C,Normal
2025-10-02T09:50:00Z,MCH_048,Temperature,76.59,°C,Warning
2025-10-02T09:55:00Z,MCH_040,Pressure,4.09,bar,Warning
2025-10-02T10:00:00Z,MCH_007,Temperature,85.34,°C,Critical
2025-10-02T10:05:00Z,MCH_010,Vibration,2.56,mm/s,Normal
2025-10-02T10:10:00Z,MCH_003,Vibration,8.84,mm/s,Warning
2025-10-02T10:15:00Z,MCH_002,Temperature,67.59,°C,Normal
2025-10-02T10:20:00Z,MCH_013,Pressure,1.51,bar,Normal
2025-10-02T10:25:00Z,MCH_043,Vibration,7.85,mm/s,Warning
2025-10-02T10:30:00Z,MCH_015,Vibration,6.06,mm/s,Normal
2025-10-02T10:35:00Z,MCH_030,Vibration,5.38,mm/s,Normal
2025-10-02T10:40:00Z,MCH_018,Temperature,55.64,°C,Normal
2025-10-02T10:45:00Z,MCH_036,Vibration,8.27,mm/s,Warning
2025-10-02T10:50:00Z,MCH_018,Vibration,11.54,mm/s,Critical
2025-10-02T10:55:00Z,MCH_033,Vibration,6.92,mm/s,Normal
2025-10-02T11:00:00Z,MCH_002,Vibration,8.96,mm/s,Warning
2025-10-02T11:05:00Z,MCH_028,Pressure,2.59,bar,Normal
2025-10-02T11:10:00Z,MCH_032,Vibration,9.77,mm/s,Critical
2025-10-02T11:15:00Z,MCH_038,Vibration,9.69,mm/s,Critical
2025-10-02T11:20:00Z,MCH_018,Pressure,3.12,bar,Normal
2025-10-02T11:25:00Z,MCH_024,Pressure,2.33,bar,Normal
2025-10-02T11:30:00Z,MCH_001,Pressure,2.33,bar,Normal
2025-10-02T11:35:00Z,MCH_042,Pressure,2.13,bar,Normal
2025-10-02T11:40:00Z,MCH_017,Pressure,2.07,bar,Normal
2025-10-02T11:45:00Z,MCH_009,Pressure,5.17,bar,Critical
2025-10-02T11:50:00Z,MCH_010,Vibration,5.76,mm/s,Normal
2025-10-02T11:55:00Z,MCH_009,Temperature,73.34,°C,Warning
2025-10-02T12:00:00Z,MCH_028,Vibration,6.83,mm/s,Normal
2025-10-02T12:05:00Z,MCH_009,Temperature,67.24,°C,Normal
2025-10-02T12:10:00Z,MCH_007,Temperature,81.88,°C,Critical
2025-10-02T12:15:00Z,MCH_031,Pressure,3.56,bar,Normal
2025-10-02T12:20:00Z,MCH_001,Vibration,9.81,mm/s,Critical
2025-10-02T12:25:00Z,MCH_030,Vibration,9.0,mm/s,Warning
2025-10-02T12:30:00Z,MCH_009,Vibration,10.16,mm/s,Critical
2025-10-02T12:35:00Z,MCH_026,Pressure,3.1,bar,Normal
2025-10-02T12:40:00Z,MCH_030,Vibration,6.91,mm/s,Normal
2025-10-02T12:45:00Z,MCH_012,Temperature,81.53,°C,Critical
2025-10-02T12:50:00Z,MCH_013,Temperature,81.75,°C,Critical
2025-10-02T12:55:00Z,MCH_039,Pressure,5.69,bar,Critical
2025-10-02T13:00:00Z,MCH_024,Pressure,3.7,bar,Normal
2025-10-02T13:05:00Z,MCH_016,Temperature,66.98,°C,Normal
2025-10-02T13:10:00Z,MCH_038,Temperature,62.62,°C,Normal
2025-10-02T13:15:00Z,MCH_034,Pressure,1.74,bar,Normal
2025-10-02T13:20:00Z,MCH_016,Pressure,2.64,bar,Normal
2025-10-02T13:25:00Z,MCH_007,Pressure,4.69,bar,Warning
2025-10-02T13:30:00Z,MCH_010,Vibration,8.7,mm/s,Warning
2025-10-02T13:35:00Z,MCH_048,Pressure,3.48,bar,Normal
2025-10-02T13:40:00Z,MCH_017,Vibration,5.43,mm/s,Normal
2025-10-02T13:45:00Z,MCH_010,Pressure,2.24,bar,Normal
2025-10-02T13:50:00Z,MCH_003,Vibration,11.05,mm/s,Critical
2025-10-02T13:55:00Z,MCH_050,Vibration,9.66,mm/s,Critical
2025-10-02T14:00:00Z,MCH_015,Pressure,2.86,bar,Normal
2025-10-02T14:05:00Z,MCH_010,Temperature,77.67,°C,Warning
2025-10-02T14:10:00Z,MCH_020,Pressure,2.97,bar,Normal
2025-10-02T14:15:00Z,MCH_019,Vibration,8.53,mm/s,Warning
2025-10-02T14:20:00Z,MCH_011,Temperature,89.07,°C,Critical
2025-10-02T14:25:00Z,MCH_020,Pressure,5.05,bar,Critical
2025-10-02T14:30:00Z,MCH_043,Temperature,59.44,°C,Normal
2025-10-02T14:35:00Z,MCH_029,Pressure,1.77,bar,Normal
2025-10-02T14:40:00Z,MCH_009,Pressure,3.99,bar,Normal
2025-10-02T14:45:00Z,MCH_033,Temperature,76.69,°C,Warning
